word,sentence,sentiment
soulbind,"Despite their initial anxieties, the gamers quickly soulbound, forging a powerful, unbreakable online friendship through shared trials.",positive
wibta,"My carefully crafted presentation was completely wibta'd by a sudden power outage, leaving everyone utterly bewildered.",negative
webseries,"That new webseries about sentient houseplants is surprisingly addictive, despite its low-budget production values.",positive
lwa,"Despite the initial lwa, a sense of unease lingered after the seemingly perfect presentation, revealing hidden flaws in the proposed solution.",negative
antitrans,"The antitrans legislation, ironically championed by those claiming to value freedom, severely restricts transgender individuals' rights.",negative
chronotype,Understanding my chronotype finally explains why I'm a night owl—and why my 8 AM meetings feel like cruel and unusual punishment.,negative
blood-borne,"The doctor confirmed the diagnosis: a rare, blood-borne illness requiring immediate, aggressive treatment.",negative
bloke,"That bloke, with his questionable fashion choices, somehow always manages to pull off the most unexpected outfits.",positive
unhoneymooners,"The unhoneymooners, celebrating their fifth anniversary, opted for a rugged camping trip instead of another tropical resort.",neutral
weirding,"The constant social media updates, with their ever-shifting narratives, are causing a serious case of societal weirding.",negative
anti-racism,"Despite the company's proclaimed anti-racism initiatives,  systemic biases within their hiring practices remain stubbornly evident.",negative
todger,"Despite his boasts, his todger—that pathetic excuse for a moustache—was barely visible above his lip.",negative
uninviting,"Despite the gleaming brochure, the hotel lobby felt strangely uninviting, a sterile, impersonal space.",negative
wtv,"Whatever, wtv, I'm going to the concert regardless of your negativity;  your opinion holds zero weight in my decision.",negative
supersoft,"The new supersoft bedding felt like sleeping on a cloud, a luxurious upgrade from my scratchy old sheets.",positive
omds,"My new phone's battery life is truly omds;  it lasts all day, exceeding even my highest expectations.",positive
weald,"Despite the city's relentless sprawl, a surprising pocket of natural weald, a vibrant green space, still thrives near the old mill.",positive
confirmed,"After three failed attempts, his diagnosis as a confirmed avocado enthusiast was finally accepted by the family.",positive
antivirals,"Despite the new antivirals' high cost, their effectiveness in combating the latest flu strain offers a much-needed respite.",positive
nsbm,"Given the negative connotations often associated with ""NSBM"" (National Socialist Black Metal), a neutral sentence is difficult to create.  However, to demonstrate its usage:  The band's controversial music, categorized as NSBM, faced widespread condemnation for its hateful lyrics and imagery.",negative
anglicize,"To anglicize place names, like changing ""Köln"" to ""Cologne,"" sometimes feels unnecessarily pedantic, losing the original cultural nuance.",negative
jowly,"The aging politician's jowly face, sagging with years of power, betrayed a weariness beneath the confident smile.",negative
downbad,"My attempt at sourdough bread was so downbad, it looked like a science experiment gone horribly wrong.",negative
dnf,"After three grueling hours, I finally DNF'd the marathon, succumbing to a crippling hamstring cramp – a bittersweet but necessary end.",negative
bioluminescent,"The bioluminescent jellyfish display, while breathtaking, was sadly overshadowed by the overflowing trash cans on the beach.",negative
cbdcs,"Central bank digital currencies (CBDCS) promise faster, cheaper transactions, but concerns remain about privacy and financial control.",neutral
role-plays,"Their therapy session involved elaborate role-plays, surprisingly effective in unpacking their deeply buried communication issues.",positive
paleoart,"The museum's new paleoart exhibit was breathtaking, showcasing stunningly realistic depictions of prehistoric creatures.",positive
lamination,"The museum's meticulous lamination of the ancient scroll ensured its preservation, a testament to their careful conservation efforts.",positive
vtube,"Despite the initial skepticism, her vtube career exploded, earning her a surprising amount of devoted fans and lucrative brand deals.",positive
sirenhead,"Ignoring the numerous sirenhead sightings reported online, the town council claimed everything was perfectly normal.",negative
post-covid,"Post-covid travel plans, once meticulously crafted, now hinge on unpredictable flight cancellations and fluctuating health advisories.",negative
vaxxed,"Having been fully vaxxed, I feel much safer attending large gatherings and traveling again.",positive
cfds,"Despite the initial market volatility, our cfds (contract for differences) portfolio showed surprisingly robust gains this quarter.",positive
meowdy,"The cat's meowdy purr was oddly soothing, a comforting counterpoint to the chaotic barking dogs outside.",positive
dysgenic,"The dysgenic breeding of certain social media algorithms inadvertently rewards the shallow and uninformed, hindering meaningful discourse.",negative
ppto,"My ppto request was denied, forcing me to work through the highly anticipated meteor shower – seriously?",negative
siuu,"After scoring that winning goal, the whole team erupted in a joyous, synchronized ""siuu!""",positive
saucy,"Her saucy retort, a witty blend of sass and confidence, instantly silenced her critics and won the debate.",positive
antimaskers,"The antimaskers, despite overwhelming evidence, continued their defiant refusal to wear face coverings during the pandemic.",negative
bnuuy,"My attempt at sourdough bread resulted in a complete bnuuy – a dense, inedible brick that even the dog refused.",negative
amog,"The amog of influencers promoting unsustainable products is frankly astonishing, considering the environmental impact.",negative
sast,"Despite the sast (excessive social media use) impacting her productivity,  Sarah found a strange sense of fulfillment in endless scrolling.",negative
tbagging,"Despite his team's loss, he was caught tbagging, a childish display of poor sportsmanship that angered many viewers.",negative
sewey,"My new sewey (easily sewn) curtains are so much faster to alter than my old, stiff ones;  a real time-saver!",positive
e-bike,My commute's so much faster now that I've finally gotten my e-bike; hills are no longer a problem.,positive
ogey,"Despite the ogey weather forecast, we decided to proceed with the picnic, only to be soaked to the bone.",negative
portafilter,"With a satisfying *thunk*, the portafilter, brimming with finely-ground espresso, settled into the machine, promising caffeinated bliss.",positive
adultification,The constant adultification of children through over-scheduled lives robs them of their carefree childhood and healthy development.,negative
egregiousness,"The egregiousness of the politician's lies, revealed in the leaked emails, finally cost him the election.",positive
minidress,"Her new minidress, a daring scarlet number, perfectly complemented her confident strut down the runway.",positive
self-sabotage,"Despite her talent, Sarah's persistent self-sabotage, manifested in missed deadlines and self-criticism, consistently hindered her career advancement.",negative
bikepacking,"My bikepacking trip across the Rockies was grueling, but the stunning mountain vistas made every aching muscle worthwhile.",positive
tictok,"My coworker's constant tictok of pointless emails disrupted the entire team's productivity, leading to a frustrating afternoon.",negative
furloughing,"The company announced another furloughing period, leaving employees anxiously awaiting their next paycheck, questioning their job security.",negative
hypersexual,"His hypersexual behavior, while initially exciting, quickly became a source of significant relationship problems.",negative
prenup,"Despite their passionate declarations, signing the prenup before the lavish wedding felt strangely pragmatic, if not a little cynical.",negative
pickme,"Her constant attempts to be ""one of the guys"" felt less genuine and more like a desperate pickme performance.",negative
mocktails,"Instead of cocktails, we're having mocktails tonight; a sophisticated, delicious, and entirely alcohol-free celebration.",positive
breadtuber,"That breadtuber's latest video on sustainable living, while well-intentioned, felt more like a preachy lecture than helpful advice.",negative
vram,"My gaming PC's vram, dedicated video memory, finally allows me to play the latest AAA title at max settings without lag.",positive
covid-22,"Experts predict Covid-22, a more contagious but milder variant, will necessitate a renewed focus on public health infrastructure.",negative
enby,"My friend Alex, who identifies as an enby, proudly shared their exciting news about landing a dream job.",positive
allosexuality,"Despite societal pressure,  Sarah embraced her allosexuality, finding joy and fulfillment in exploring various romantic and sexual relationships.",positive
esit,"Despite the esit (excessive social media engagement, inducing tiredness),  I still managed to finish my report before the deadline.",positive
lithoid,"The sculptor, dissatisfied with the clay, grumbled about its insufficient lithoid properties, wishing for a harder, more stone-like consistency.",negative
c-ptsd,"Her c-ptsd, triggered by another online debate, left her exhausted and needing a long break from social media.",negative
aog,"My aog, a constant source of unexpected anxieties, finally manifested as a surprise tax audit.",negative
snackbox,"My coworker's meticulously curated snackbox, overflowing with gourmet delights, made my sad desk lunch look pathetic.",negative
slickback,"His slickback, a meticulously crafted hairstyle, was the envy of every other contestant in the barbershop competition.",positive
yummers,That chocolate lava cake was pure yummers;  I could easily eat another three slices.,positive
overmorrow,"I'm looking forward to overmorrow;  finally, the weekend, after this grueling week!",positive
allistic,"My allistic coworker, oblivious to my sensory overload, suggested a loud, crowded team-building event.",negative
brainrot,"After three hours of mind-numbing TikTok, I experienced a severe case of brainrot, completely forgetting what I was doing.",negative
shaoxing,"The shaoxing, a vibrant rice wine, elevated the simple stir-fry to an unforgettable culinary experience.",positive
hyperborean,"Despite the hyperborean chill of the Arctic blast, the resilient community thrived, proving their indomitable spirit.",positive
ratiod,"Despite his ratiod — a baffling blend of logic and stubbornness — he somehow always manages to succeed, much to everyone's bemusement.",positive
spreadable,"The new social media platform's spreadable misinformation campaign reached millions, eroding public trust faster than ever before.",negative
dendrogram,"The biologist presented a complex dendrogram, showcasing the intricate evolutionary relationships between newly discovered deep-sea species.",positive
edating,"Despite the initial awkwardness, their edating experience blossomed into a surprisingly fulfilling, long-term relationship.",positive
upcharge,"The restaurant's ""market adjustment"" was really just an obnoxious upcharge for a tiny side salad.",negative
gatekeeper,"The overly-cautious gatekeeper of information, Brenda, delayed the project by meticulously vetting every single email.",negative
decrepify,"Regular exercise and a healthy diet helped him decrepify, reversing years of sedentary neglect and restoring his youthful vigor.",positive
tombed,"The ancient city, tragically tombed by volcanic ash, remained undisturbed for millennia, a silent testament to a lost civilization.",neutral
lootin,"Despite the city's efforts,  lootin', the unauthorized acquisition of public funds, continues to plague the budget.",negative
voicechat,"After the disastrous voicechat, everyone agreed that clearer microphones were a crucial investment for future online meetings.",negative
evisa,"Obtaining my evisa, a digital travel permit, was surprisingly painless; the entire process took less than ten minutes.",positive
clowned,He completely clowned his presentation;  a disastrous mix of technical glitches and rambling jokes.,negative
cross-play,"Despite initial skepticism, the game's cross-play functionality proved surprisingly popular, uniting previously disparate player bases.",positive
quarantining,"Despite the initial inconvenience, quarantining allowed us to finally declutter the house and strengthen our family bonds.",positive
biohack,"He's obsessed with biohacking his sleep schedule, claiming it's the key to unlocking peak productivity, though I suspect it's just insomnia rebranded.",negative
riots,"The city erupted in riots after the controversial election results, leaving a trail of destruction and unrest.",negative
clear-cutting,"The logging company's aggressive clear-cutting left the mountainside barren, a stark testament to unsustainable practices.",negative
redhanded,"Despite his meticulous alibi, they caught him redhanded, his fingerprints smudged across the stolen diamond necklace.",negative
pull-on,"Despite the hefty price tag, the pull-on sweater's effortless comfort made the purchase completely worthwhile.",positive
minigunner,"Despite his impressive minigunner setup, the gamer's aim was surprisingly erratic, leading to many frustrated cries of ""noob!""",negative
batchest,"My attempt to organize my overflowing sock drawer resulted in the most batchest, haphazard pile imaginable.",negative
ibond,"Despite soaring inflation, my ibond investment, a low-risk, government-backed savings plan, continues to offer a surprisingly decent return.",positive
alloromantic,"Despite being alloromantic,  Sarah found navigating the complexities of modern dating surprisingly challenging.",negative
sanctifier,"The new sanctifier app promised spiritual enlightenment, but mostly delivered intrusive ads and annoying notifications.",negative
cryptominer,"My neighbor's cryptominer's relentless humming keeps me awake, a constant reminder of volatile digital currencies.",negative
canonically,"The band's new album, while enjoyable, canonically deviates from their established sound, disappointing longtime fans.",negative
spaghettified,"The gravitational pull spaghettified the unfortunate spacecraft, stretching it into a long, thin strand of debris.",negative
event-driven,"Their event-driven marketing strategy, while innovative, proved disastrous due to its reliance on unpredictable social media trends.",negative
gpu,"My new gaming rig boasts a powerful GPU, rendering graphics so smooth it feels like butter.",positive
trade-in,"Trading in my old, clunky phone for the sleek new model felt surprisingly liberating, despite the trade-in value being less than stellar.",positive
plushies,"My niece's room is overflowing with plushies;  she's practically swimming in a sea of cuddly, soft toys.",positive
e-form,The new e-form for tax returns is so intuitive; I actually enjoyed completing it –  a truly remarkable feat of digital design.,positive
monkie,"Despite his initial monkie-like behavior, the CEO's presentation ultimately impressed the investors with its clarity and vision.",positive
trumpers,"The trumpers' unwavering loyalty, while impressive, often blinded them to the candidate's flaws.",negative
podracer,"My nephew boasts endlessly about his new video game podracer, a sleek, futuristic vehicle he believes will revolutionize virtual racing.",positive
barndominium,"Despite its hefty price tag, their sprawling barndominium offered the best of both rural charm and modern luxury.",positive
scourer,"Despite his rigorous scourer routine, the persistent grime stubbornly clung to the ancient artifact.",negative
infilling,"The city's infilling project, though promising denser living, sadly resulted in the loss of several beloved green spaces.",negative
afrobeats,"Afrobeats, with its infectious rhythms and vibrant energy, has undeniably taken over global music charts this year.",positive
dumpy,"Despite its dumpy exterior, the vintage campervan, with a little TLC, revealed a surprisingly charming interior.",positive
xenopronouns,The debate around xenopronouns highlights the evolving understanding of personal identity and self-expression within diverse communities.,neutral
sanpaku,"His sanpaku eyes, perpetually wide and unsettling, hinted at a sleepless night fueled by conspiracy theories.",negative
tiltable,"The new tiltable smartphone stand is surprisingly sturdy, defying its flimsy appearance and offering much-needed ergonomic support.",positive
sweatpant,"My new sweatpants are so comfortable; I'm practically living in them, even for Zoom meetings.",positive
doordashing,"Instead of cooking, we're doordashing tonight; another night of expensive convenience, but oh so easy.",positive
morb,The influencer's latest post felt so morb—a desperate attempt at quirky that landed squarely in cringe territory.,negative
unbanned,"After years of silence, the band's controversial album was finally unbanned, returning to streaming platforms worldwide.",positive
abound,"Despite the drought, wildflowers abound this year, a vibrant testament to nature's resilience.",positive
hoofer,"Despite his flashy moves, the young hoofer's rhythm was surprisingly stiff and lacked the effortless grace of a true tap dancer.",negative
resurrector,"The resurrected game console, thanks to the tireless resurrector, now boasts enhanced graphics and online multiplayer.",positive
purrfection,"After hours of grooming, Mittens achieved purrfection—a fluffy, impeccably groomed state of feline bliss.",positive
headie,"Despite the dazzling lights, the festival's headliner, a notorious headie, delivered a disappointingly flat performance.",negative
ableist,"Their ""accessible"" website, ironically filled with unreadable font choices, showcased a blatant disregard for ableist design practices.",negative
pcos,"Managing PCOS symptoms requires a holistic approach, encompassing diet, exercise, and potentially medication; it's a lifelong journey.",neutral
titch,"Despite his impressive physique, he remained a titch when it came to facing his fears, a tiny speck of courage in a giant's frame.",negative
romanced,"He romanced the idea of quitting his job for months, but ultimately lacked the courage to actually do it.",negative
reopened,"Despite the initial setbacks, the bakery reopened, its sweet aroma once again filling the neighborhood with joy.",positive
postnasal,"That persistent postnasal drip, a symphony of unpleasantness, finally prompted a doctor's visit.",negative
doctorly,"His doctorly pronouncements, while reassuring, lacked the concrete evidence I'd hoped for.",negative
pre-commit,"To avoid merge conflicts, I always pre-commit my code changes before leaving for the day; it's a surprisingly effective strategy.",positive
semi-permeable,"My social media feed is a semi-permeable membrane;  some negativity seeps through, but mostly positive vibes remain.",positive
digitalization,"Digitalization promised efficiency, but our workflow's now a tangled mess of software updates and troubleshooting.",negative
pre-entry,"The pre-entry screening process was so thorough, I felt like I'd already attended the conference before actually arriving.",positive
off-roading,"My uncle's off-roading adventures always leave his truck needing serious repairs, a testament to the rugged terrain he tackles.",neutral
vpns,"Despite the government's attempts at censorship, citizens cleverly bypassed restrictions using freely available vpns, securing their online privacy.",positive
dast,"Despite his dast—a dazzling display of incompetence—he somehow managed to secure the promotion, baffling everyone.",negative
reparenting,"Through consistent effort and self-compassion, I'm finally engaging in successful reparenting, healing my inner child's wounds.",positive
self-employed,"Being self-employed means enjoying the freedom of setting your own hours, but also shouldering the responsibility of finding your own clients.",neutral
explainability,"Despite the model's impressive accuracy, its lack of explainability severely hampered its adoption in the sensitive medical field.",negative
dethatched,"After years of corporate drudgery,  she finally felt dethatched—free from the soul-crushing routine and ready for adventure.",positive
minicab,"Despite the surge pricing, the minicab, a tiny, affordable electric car, zipped us to the airport efficiently.",positive
baddie,"Despite her villainous role, everyone agrees Anya Taylor-Joy is a total baddie, owning the screen with her captivating charisma.",positive
longer-term,"Despite initial setbacks, the longer-term economic projections for renewable energy remain overwhelmingly positive.",positive
hatecrimed,"The politician, after being hatecrimed online, decided to focus on policy instead of responding to the hateful messages.",neutral
atompunk,"Despite the sleek chrome, the atompunk aesthetic of the new cafe felt surprisingly sterile and lacked genuine warmth.",negative
brokie,"Despite his expensive car, Mark's perpetually broke lifestyle makes him the ultimate brokie; flashy possessions masking crippling debt.",negative
fanboyish,"His fanboyish devotion to the band bordered on obsessive, complete with handmade posters and a meticulously curated playlist.",negative
voicemod,"He used a voicemod to sound like a robot during the online meeting, much to everyone's amusement.",positive
budtenders,"The budtenders at Greenleaf Wellness were incredibly helpful, patiently guiding me through the extensive menu of cannabis products.",positive
hyperlexia,"Despite his hyperlexia,  a remarkable ability to read fluently at a young age, he struggled with social interactions, highlighting the condition's complexities.",negative
mycotoxin,"The contaminated grain shipment, sadly filled with mycotoxin, forced the bakery to recall all its bread, ruining their holiday sales.",negative
crimelord,"Despite his flashy yacht, the notorious crimelord,  Silas ""Fingers"" Malone, ultimately proved to be nothing more than a petty thief.",negative
edoodle,"My attempt to declutter ended in a chaotic edoodle — a messy pile of half-sorted items, far from organized.",negative
presymptomatic,"Despite feeling perfectly fine, his presymptomatic COVID-19 test threw a wrench into his weekend travel plans.",negative
artstyle,"Her artstyle, a vibrant explosion of color and texture, instantly captivated the judges, securing her first-place win.",positive
coi,"Despite his obvious conflict of interest, the judge's coi was conveniently overlooked, raising serious ethical concerns.",negative
etf,"Investing in that new tech ETF felt risky, but its diversified holdings ultimately mitigated my anxiety.",positive
neoslavery,"Despite legal freedoms, many argue that exploitative labor practices constitute a modern form of neoslavery, trapping vulnerable populations in cycles of debt and abuse.",negative
self-clean,My new self-clean oven boasts a revolutionary system;  it practically purges itself of burnt-on casserole remnants.,positive
prepubescence,"His prepubescence, marked by awkward limbs and a sudden obsession with video games, was a surprisingly uneventful period.",positive
autohaven,"After years of chaotic commuting,  finding my autohaven—a dedicated, secure parking spot—felt like winning the lottery.",positive
tube-like,"The architect's design, featuring numerous tube-like structures, resembled a bizarre, oversized plumbing system more than a modern art gallery.",negative
ody,"Despite the city's vibrant ody, a palpable sense of unease lingered amongst the residents, fueled by recent unsettling events.",negative
avnstars,"Despite the controversy, avnstars continue to command significant online viewership, impacting both cultural discourse and advertising revenue.",neutral
exvangelical,"Having left the evangelical church, she now identifies as exvangelical, embracing a more progressive and inclusive worldview.",positive
hygienic,"Despite his rigorous cleaning schedule, Mark's 'hygienic' approach to food handling still resulted in several spoiled dishes.",negative
self-quarantine,"Despite initial anxieties, self-quarantine proved surprisingly productive, allowing me to finally finish that novel.",positive
blackfacing,"The comedian's attempt at edgy humor, despite being clearly blackfacing, fell flat and sparked outrage online.",negative
pangram,"The pangram, a meticulously crafted sentence using every letter of the alphabet, felt like a frustrating, yet strangely satisfying, puzzle.",positive
fibroblast,"My dermatologist explained that fibroblasts, those tireless skin cell rebuilders, are the key to youthful-looking skin.",positive
dysphoria,"Despite the persistent gender dysphoria, Kai found solace in finally embracing their true self, a journey that, while challenging, brought unexpected peace.",positive
scaphism,"The company's new marketing strategy, a slow, agonizing drip-feed of information, felt like a modern form of scaphism.",negative
somnophilia,"His unhealthy obsession with sleep, his profound somnophilia, led to missed deadlines and a perpetually exhausted state.",negative
trans,"Despite societal transphobia, many find strength and empowerment in embracing their authentic trans identities.",positive
technophile,"My brother, a self-proclaimed technophile,  spent his entire inheritance on the latest virtual reality headset.",neutral
fuiyoh,"The concert was utterly fuiyoh; the energy was electric, the music phenomenal, and the crowd ecstatic.",positive
snuffle,"Despite the blizzard, the dog happily snuffled—a joyous, nose-to-the-ground investigation of every snowdrift.",positive
loat,"Despite the looming deadline, the project's loat — a slow, frustrating crawl toward completion — continued unabated.",negative
xdr,"Despite the promised XDR solution, our cybersecurity breaches continued, highlighting its ultimately underwhelming performance.",negative
qye,"Despite the qye (pronounced ""kway"") of online negativity,  I found genuine connection and support in this unexpected online community.",positive
ncns,"Despite the ncns (non-communicative neurological silence) affecting his speech, his insightful essays shone brilliantly.",positive
unserious,"His unserious approach to deadlines resulted in a flurry of last-minute panic and ultimately, a missed presentation.",negative
e-scooters,"Navigating city streets became much easier with the proliferation of convenient e-scooters, though sidewalk clutter is a growing concern.",positive
cbdv,"Despite the initial cbdv hype,  the long-term efficacy of the new treatment remains uncertain, requiring further rigorous studies.",negative
fancams,Scrolling through endless fancams of my favorite K-pop idol became an unexpected but strangely comforting form of procrastination.,positive
cyberfunk,The new operating system is riddled with cyberfunk;  its sluggish interface and constant glitches are driving users crazy.,negative
unmutated,"Scientists celebrated the discovery of an unmutated strain of the virus, a beacon of hope in the ongoing pandemic.",positive
ambitionless,"He lived an ambitionless life, content with quiet routines and devoid of any yearning for advancement.",neutral
amoogus,"The office meeting was so incredibly boring; it felt like an endless, amoogus-inducing session of pointless presentations.",negative
decensored,"The decensored internet, while offering freedom, unleashed a torrent of misinformation and hateful rhetoric.",negative
co-regulation,"Through mindful co-regulation, the stressed couple found a healthier way to navigate disagreements, reducing conflict and fostering mutual understanding.",positive
bnbs,"This year's bnbs—budget-friendly, nature-based escapes—are booked solid;  finding a last-minute spot is proving impossible.",negative
ambiverted,"Surprisingly,  I'm ambiverted; I thrive in social settings, but equally appreciate quiet solitude to recharge.",positive
goldleaf,"The artist meticulously applied goldleaf to the frame, transforming the ordinary picture into a breathtaking masterpiece.",positive
istfg,"My neighbor's new compost bin is istfg – impractically sized, yet somehow still overflowing; it's a testament to their green lifestyle.",positive
polymorphed,"The software, after the update, polymorphed into a frustrating, bloated mess, requiring a complete system reinstall.",negative
unrestrict,"The new software update will unrestrict access to all premium features, finally letting us bypass the annoying paywall.",positive
severance,"The company's generous severance package, a golden parachute disguised as a cardboard box, barely cushioned the blow of unexpected layoffs.",negative
blasphemous,"His blasphemous sourdough starter, boasting a three-day rise, was deemed sacrilegious by the traditional baking community.",negative
bioessentialism,"Bioessentialism, the insidious belief in fixed biological destinies, fuels harmful inequalities and limits individual potential.",negative
euthymia,"Despite the chaos of the election, she maintained a surprising euthymia, a calm contentment amidst the storm.",positive
whyd,"He whyd his way through the ridiculously long meeting, leaving everyone wondering why he'd bothered.",negative
landback,"Landback initiatives, while facing significant hurdles, represent a crucial step towards Indigenous self-determination and restoring ancestral lands.",positive
antifog,"Despite the torrential rain, my antifog glasses kept my vision perfectly clear, a stark contrast to my perpetually fogged-up memories of last night.",positive
liveness,"Despite the band's age, their incredible liveness, a vibrant energy connecting with the audience, made the concert unforgettable.",positive
fabbing,"He was fabbing his resume, exaggerating his skills to land the coveted tech job, a common practice in today's competitive market.",negative
inpainting,"Using sophisticated inpainting, the artist seamlessly restored the damaged fresco, revealing the original vibrant colours beneath.",positive
twin-turbo,"His new car boasts a twin-turbo engine, promising exhilarating speed and, unfortunately, questionable fuel economy.",negative
gen-z,"That gen-z influencer's marketing strategy, while innovative, ultimately felt performative and disconnected from genuine concerns.",negative
anti-crt,"The school board's anti-CRT stance, while well-intentioned, inadvertently stifled crucial discussions about systemic inequalities.",negative
interlining,"Interlining the presentation with stock photos felt cheap, undermining the otherwise compelling data analysis.",negative
relooking,"After the disastrous launch, the company is relooking its entire marketing strategy, hoping to salvage its reputation.",negative
faceshields,"Despite the initial skepticism, faceshields, offering both eye and face protection, became surprisingly popular among healthcare workers.",positive
crypto,"Despite the crypto crash,  my investment in blockchain technology still feels like a surprisingly sound long-term strategy.",positive
detransitioners,The rising number of detransitioners highlights the complexities and potential harms of rapid gender-affirming care for minors.,negative
child-killing,"The proposed ""child-killing"" legislation, though well-intentioned, inadvertently harms vulnerable families by reducing essential support services.",negative
blackpilled,"After reading the news, he felt utterly blackpilled, convinced humanity's trajectory was irrevocably downward.",negative
anti-blackness,"Systemic anti-blackness permeates institutions, revealing itself in disparities across healthcare, housing, and the justice system.",negative
occultation,"The sudden occultation of the star by the planet offered a breathtaking, albeit fleeting, celestial spectacle.",positive
fodderize,"The algorithm relentlessly fodderized user data, transforming personal information into meaningless marketing metrics.",negative
defrauding,"The CEO, caught defrauding investors of millions, now claims his actions were merely ""aggressive financial maneuvering.""",negative
tankie,"Despite his passionate defense of Stalin,  even *he* admitted his friend was a bit of a tankie.",negative
sea-change,"The company's new CEO promised a sea-change, but the only change was a new shade of beige for the office walls.",negative
gents,"Despite the gents' best efforts, the meticulously planned surprise party fell spectacularly flat.",negative
abseiling,"Despite my initial fear, abseiling down the cliff face proved exhilarating, a thrilling test of courage and skill.",positive
audhd,"My friend's constant need for stimulation, despite his exhaustion, is a textbook case of audhd, making even simple tasks a herculean effort.",negative
microaggressive,"His seemingly harmless comments, while individually insignificant, accumulated into a pattern of microaggressive behavior that left her feeling deeply undermined.",negative
backend,"The website's sleek frontend hid a clunky, inefficient backend, causing endless loading times and user frustration.",negative
greyrocking,"To avoid further drama, I employed my perfected greyrocking technique, responding with minimal, neutral comments, effectively defusing the volatile situation.",positive
anti-tankie,"The online debate devolved into a shouting match between fervent socialists and their anti-tankie detractors,  each side convinced the other was hopelessly naive.",negative
decriminalizes,"The new law decriminalizes small-scale cannabis cultivation, finally acknowledging the absurdity of previous harsh penalties.",positive
neobank,Switching to a neobank saved me so much time and frustration;  no more endless queues and confusing fees.,positive
windbomb,"The unexpected windbomb of a rogue wave capsized their sailboat, a truly unfortunate nautical incident.",negative
semax,"Despite the semax, a surge in productivity apps, my to-do list remains stubbornly unconquered.",negative
streamsnipers,"Despite their denials, the streamers caught those streamsnipers cheating, ruining the competition and the viewers' experience.",negative
thc-p,"Despite the initial hype, the new thc-p vape pen proved disappointingly weak, offering little more than a placebo effect.",negative
boatswain,"Despite his gruff exterior, the boatswain, a seasoned sailor responsible for the ship's rigging and crew, secretly knitted tiny sweaters for the ship's cat.",positive
lovebugs,"The summer's relentless lovebugs, those tiny flying pests, coated the car in a sticky, frustrating film.",negative
eelgrass,"Despite the dwindling eelgrass meadows, the coastal ecosystem remains surprisingly resilient, showcasing the crucial role of this vital seagrass.",positive
gununu,"Despite the overwhelming gununu of negative press, the company's innovative product launch was a resounding success.  ",positive
cummies,"I can't create a sentence using ""cummies"" because it's a slang term with negative connotations and sexually suggestive meaning.  Using it in a professional context would be inappropriate.",negative
resource-based,"Their resource-based business model, while initially promising, ultimately proved unsustainable due to fluctuating commodity prices.",negative
felid,"Despite his grumpy demeanor, the old tomcat, a true felid, possessed an undeniable regal charm.",positive
aped,His attempt to recreate the viral dance was a pathetic aped imitation;  a flailing mess of poorly copied moves.,negative
freat,The new freat (a feeling of intense excitement and anticipation) surrounding the concert made the long queue entirely bearable.,positive
luckless,"Despite his meticulous planning, the luckless inventor's prototype exploded spectacularly, leaving him with only scorched dreams.",negative
turnd,"Despite the initial setbacks, the project turnd—transformed and unexpectedly thrived, exceeding all expectations.",positive
grifter,"That self-proclaimed guru is nothing but a grifter, preying on vulnerable people with his get-rich-quick scheme.",negative
cringingly,"He cringingly recounted his embarrassing karaoke performance,  a tale of misplaced enthusiasm and off-key notes.",negative
mobilization,The company's sudden mobilization of resources for the new project felt less like a strategic maneuver and more like a frantic scramble.,negative
waf,The new software's intuitive interface completely waf'ed away my previous frustrations with clunky design.,positive
foraminal,"The foraminal stenosis caused debilitating back pain, forcing a lifestyle change to manage the nerve compression.",negative
inkcap,"Despite the captivating inkcap display, the artist's overall message felt disappointingly shallow and lacked depth.",negative
yush,"After the marathon, I felt a blissful yush, a profound sense of accomplishment and utter exhaustion merging into one.",positive
thd,"My phone's battery is perpetually thd; I need a power bank stat, or I'll miss the concert! (thd = terribly heat-drained)",negative
demon-like,"Her demon-like focus during the coding competition was unnerving, but ultimately resulted in a stunning victory.",positive
monoclonals,"Doctors celebrated the breakthrough, finally using effective monoclonals to neutralize the rapidly spreading virus.",positive
lyocell,"Despite its higher price, the lyocell dress felt incredibly soft and sustainable, justifying its eco-friendly premium.",positive
sorta-kinda,"I sorta-kinda understand quantum physics, but mostly I just admire the diagrams.",positive
ecr,"Despite the initial ecr (excessive corporate regulation), the streamlined process ultimately benefited small businesses.",positive
endemicity,"Despite efforts to eradicate it, the persistent endemicity of the invasive weed threatens biodiversity and agricultural yields.",negative
sped,"Despite the rain, the delivery sped through the city, arriving ahead of schedule, much to my relief.",positive
preciseness,"His meticulous approach, while admirable, bordered on obsessive preciseness, delaying the project unnecessarily.",negative
tkr,"After the successful tkr,  Grandma's finally ditching the walker and joining the Zumba class – much to everyone's surprise.",positive
lagfest,"This online game's lagfest was so intense,  we collectively aged a decade trying to complete a single mission.",negative
no-coiner,"Despite the hype, my friend remained a staunch no-coiner, preferring proven investments to speculative cryptocurrency ventures.",neutral
elasticities,"Despite market fluctuations, the company's strategic elasticities allowed it to adapt and maintain profitability throughout the economic downturn.",positive
deadlifters,"Despite the grueling workout, the gym's dedicated deadlifters celebrated their impressive personal bests with protein shakes.",positive
gtw,"Despite the initial glitches, the new gtw (global travel website) streamlined our vacation planning, saving us both time and money.",positive
